ID,HIGH_PRICE,LOW_PRICE,SYMBOL,SMA_50,SMA_200,EMA_50,EMA_200,RSI,STOCHASTIC,MACD,CCI,WILLIAMS_R,SIGNAL
1198,635,635,KKST,978.26,1810.735,971.3077868505576,1832.8749735358087,1.039951782190613,-59.5463138,-160.5872765,-90.07062401,-159.5463138,Buy
1199,635,635,KKST,959.96,1808.47,945.7663050132808,1817.8213977994744,1.039951782190613,-59.5463138,-168.5719475,-84.42074139,-159.5463138,Buy
1200,635,635,KKST,941.66,1806.205,921.2264499147208,1802.917610736106,1.039951782190613,-59.5463138,-172.906696,-78.94853692,-159.5463138,Buy
1201,635,635,KKST,923.36,1803.94,897.6489420749277,1788.1621218745208,1.039951782190613,0,-174.3324199,-75.07983971,0,Buy
1202,635,635,KKST,905.06,1801.675,874.9960423857149,1773.553455574818,1.039951782190613,0,-173.4627457,-72.82282282,0,Buy
1203,635,635,KKST,886.76,1799.41,853.2314917039221,1759.0901508807929,1.039951782190613,0,-170.8045936,-72.5361069,0,Buy
1204,635,635,KKST,868.46,1797.145,832.3204528135722,1744.7707613738144,1.039951782190613,0,-166.7755048,-75.36005722,0,Buy
1205,635,635,KKST,850.16,1794.88,812.2294546640203,1730.5938550281603,1.039951782190613,0,-161.7182356,-74.07407407,0,Buy
1206,635,635,KKST,831.86,1792.615,792.9263388,1716.5580140677905,1.039951782190613,0,-155.9130449,-66.66666667,0,Buy
1207,635,635,KKST,813.56,1790.35,774.3802078617119,1702.6618348245445,1.039951782190613,0,-149.5880317,-60.60606061,0,Buy
1208,635,635,KKST,795.26,1788.085,756.5613761808605,1688.9039275977525,1.039951782190613,0,-142.9278301,-55.55555556,0,Buy
1209,635,635,KKST,778.38,1785.82,739.4413222129836,1675.282916515243,1.039951782190613,0,-136.0809163,-51.28205128,0,Buy
1210,635,635,KKST,761.5,1783.555,722.9926429105136,1661.7974393957334,1.039951782190613,0,-129.1657454,-47.61904762,0,Buy
1211,635,635,KKST,743.9,1781.29,707.1890098551993,1648.446147612589,1.039951782190613,0,-122.2759022,-44.44444444,0,Buy
1212,635,635,KKST,726.3,1779.025,692.0051271157797,1635.2277059589385,1.039951782190613,0,-115.4844193,-41.66666667,0,Buy
1213,635,635,KKST,708.7,1776.76,677.4166907582982,1622.1407925141348,1.039951782190613,0,-108.8473952,-39.21568627,0,Buy
1214,635,635,KKST,691.1,1774.495,663.4003499442472,1609.184098511539,1.039951782190613,0,-102.4070214,-37.03703704,0,Buy
1215,635,635,KKST,673.5,1772.23,649.9336695542767,1596.3563282076277,1.039951782190613,0,-96.19411285,-35.0877193,0,Buy
1218,635,635,KLST,616.7,1727.165,604.7770939487158,1556.6437347236176,0.3580965698076568,0,-95.05404603,-666.6666667,0,Buy
1219,635,635,KLST,595.1,1705.265,585.7662275193544,1542.3486995631797,0.3580965698076568,0,-102.216622,-333.3333333,0,Buy
1220,635,635,KLST,573.5,1683.365,567.5008852636935,1528.1959049966747,0.3580965698076568,0,-106.663465,-222.2222222,0,Buy
1221,635,635,KLST,551.9,1661.465,549.9518309,1514.183935666333,0.3580965698076568,0,-108.9319207,-166.6666667,0,Buy
1222,635,635,KLST,530.3,1639.565,533.0909748243475,1500.3113902981106,0.3580965698076568,0,-109.4678115,-133.3333333,0,Buy
1223,635,635,KLST,508.7,1617.665,516.8913287528045,1486.5768815615415,0.3580965698076568,0,-108.6401725,-111.1111111,0,Buy
1224,635,635,KLST,487.1,1595.765,501.3269629193612,1472.979035930985,0.3580965698076568,0,-106.7536727,-95.23809524,0,Buy
1225,635,635,KLST,465.5,1573.865,486.3729643735039,1459.5164935482526,0.3580965698076568,0,-104.0590797,-83.33333333,0,Buy
1226,635,635,KLST,443.9,1551.965,472.0053971431704,1446.1879080866042,0.3580965698076568,0,-100.762073,-74.07407407,0,Buy
1227,635,635,KLST,422.3,1530.065,458.2012639218695,1432.991946616096,0.3580965698076568,0,-97.03066226,-66.66666667,0,Buy
1228,635,635,KLST,400.7,1508.165,444.9384692582668,1419.9272894702683,0.3580965698076568,0,-93.0014298,-60.60606061,0,Buy
1229,635,635,KLST,379.1,1486.265,432.19578418931513,1406.992630114162,0.3580965698076568,0,-88.78477839,-55.55555556,0,Buy
1230,635,635,KLST,368.8,1464.365,419.9528122603224,1394.1866750136448,0.3580965698076568,0,-84.46934177,-51.28205128,0,Buy
1231,635,635,KLST,358.5,1442.465,408.1899568775646,1381.508143506043,0.3580965698076568,0,-80.12568811,-47.61904762,0,Buy
1232,635,635,KLST,348.2,1420.565,396.88838994118953,1368.9557676720576,0.3580965698076568,0,-75.8094274,-44.44444444,0,Buy
1233,635,635,KLST,337.9,1398.665,386.0300217082017,1356.5282922089525,0.3580965698076568,0,-71.56381656,-41.66666667,0,Buy
1234,635,635,KLST,327.6,1376.765,375.5974718372918,1344.2244743050107,0.3580965698076568,0,-67.42194121,-39.21568627,0,Buy
1235,635,635,KLST,317.3,1354.865,365.5740415691627,1332.043083515236,0.3580965698076568,0,-63.40854096,-37.03703704,0,Buy
1236,635,635,KLST,307,1332.965,355.943687,1319.9829016382917,0.3580965698076568,0,-59.5415346,-35.0877193,0,Buy
1237,635,635,KLST,296.7,1311.065,346.6909933900652,1308.0427225946653,0.3580965698076568,0,-55.83329276,0,0,Buy
1238,635,635,KLST,286.4,1300.965,337.8011505120234,1296.221352306045,0.3580965698076568,0,-52.29169824,0,0,Buy
1239,29200,28801,KMB,849.72,1434.27,1454.0050269625333,1569.9018802236446,99.77697822517608,98.60318571678629,2239.0219920364952,666.6666666666667,-1.396814283,Sell
1240,29000,28800,KMB,1417.02,1568.57,2534.240123944396,1842.839303923748,99.77862863489278,99.29984246455452,4024.569504451524,333.32899700229444,-0.700157535,Sell
1241,28300,27499,KMB,1970.3,1699.365,3544.622864181871,2106.0857572890627,97.05399846,96.84579030281812,5321.718472817127,216.64760251909703,-3.154209697,Sell
1242,27250,27000,KMB,2502.6,1824.915,4474.2454969590535,2356.274968627187,92.96306317,93.17346402940662,6193.676001048672,158.42424969028494,-6.826535971,Sell
1243,27000,26983,KMB,3029.9,1949.215,5357.608418646934,2601.487142947893,91.96812586269812,92.29826711009976,6786.307386403318,126.76485716828572,-7.70173289,Sell
1244,26999,26990,KMB,3557.08,2073.485,6206.094363013723,2844.1996740021827,91.94269281,92.27726238,7172.804256565465,106.1935701057825,-7.722737616,Sell
1245,26989,26948,KMB,4083.38,2197.535,7019.580858581812,3084.059323319721,91.74233006687408,92.12322773,7390.3638641675425,91.18188012623496,-7.876772274,Sell
1246,27000,26898,KMB,4610.58,2321.81,7802.930628833506,3321.980053784903,91.76210252,92.28076317171364,7480.185620959282,79.96629639061821,-7.719236828,Sell
1247,26990,26500,KMB,5139.18,2444.86,8545.952957114547,3555.0955752201685,90.49167463446258,91.42307019079291,7445.770352109972,70.19850609074835,-8.576929809,Sell
1248,27000,26301,KMB,5670.8,2568.665,9265.758723502213,3787.394014777721,90.57825384253788,91.95168913005426,7346.000322645585,63.147075682406665,-8.04831087,Sell
1249,26301,25949,KMB,6190.42,2689.47,9933.807401,4011.410837865634,87.18128301555699,89.85121652371784,7136.254569388349,54.85247137129674,-10.14878348,Sell
1250,25650,25002,KMB,6697,2807.015,10550.089463717346,4226.711034779323,83.51591047614946,87.56870295816559,6838.587616615436,46.50949152072328,-12.43129704,Sell
1251,24969,24599,KMB,7184.64,2919.825,11105.066347493135,4430.4460049552845,78.36255033349634,84.25345702783126,6451.895985621093,38.95919761508874,-15.74654297,Sell
1252,24550,24199,KMB,7669.24,3031.875,11632.318647591444,4630.641303279358,77.53555988479926,7.018596280743851,6063.281220760902,33.32593161028853,-92.98140372,Buy
1253,24200,24000,KMB,8146.82,3142.17,12125.12968101923,4825.352044163228,75.55270842483851,3.98,5661.713741502794,27.49908410752436,-96.02,Buy
1254,24100,24000,KMB,8622.42,3251.97,12594.73243862632,5017.140272643907,74.97034841,2.3255813953488373,5274.676955856092,22.43715055451937,-97.6744186,Buy
1255,24099,23801,KMB,9096.02,3361.27,13041.997833189997,5206.025118543782,74.34696642813509,5.769788344447666,4903.355520311172,15.423190666881686,-94.23021166,Buy
1256,24180,23500,KMB,9567.42,3470.02,13467.40968286882,5391.935968779183,73.62178209360539,11.142857142857142,4547.780543513178,3.538158688649247,-88.85714286,Buy
1257,24200,24097,KMB,10042.96,3579.805,13884.256361972004,5578.056655538202,74.13310102395737,17.057142857142857,4233.882421594364,-15.48369118,-82.94285714,Buy
1258,24300,24200,KMB,10520.56,3690.105,14288.79532816918,5763.350261507908,74.39902317749706,20,3947.917996483113,-78.62293766,-80,Buy
1259,24301,24150,KMB,10999.16,3810.88,14679.430805495878,5947.297651516516,74.53587681393176,21.428571428571427,3682.8698799830345,-70.91944467,-78.57142857,Buy
1260,24301,24150,KMPR,11000.2,3812.265,14118.355087633296,5891.821865948412,19.880270326171043,-660.8,1528.4433513293225,-345.3953494,-760.8,Buy
1261,24301,24150,KMPR,11001.24,3813.65,13579.282339098656,5836.8980819504495,19.880270326171043,-660.8,-176.915819,-279.7484767,-760.8,Buy
1262,24301,24150,KMPR,11002.28,3815.035,13061.349698349688,5782.520806896351,19.880270326171043,-825.7051053,-1511.007296,-220.8716292,-925.7051053,Buy
1263,24301,24150,KMPR,11003.32,3816.42,12563.72814155166,5728.684602814289,19.880270326171043,-1075.72093,-2539.016205,-166.6666667,-1175.72093,Buy
1264,24301,24150,KMPR,11004.36,3817.805,12085.621155608456,5675.384085843034,19.880270326171043,-1574.404357,-3315.501633,-133.3333333,-1674.404357,Buy
1265,24301,24150,KMPR,11005.4,3819.19,11626.263463231651,5622.613925693505,19.880270326171043,-2202.666667,-3886.075668,-111.1111111,-2302.666667,Buy
1266,24301,24150,KMPR,11006.44,3820.575,11184.919798006882,5570.368845115695,19.880270326171043,-2887.390762,-4288.820844,-95.23809524,-2987.390762,Buy
1267,24301,24150,KMPR,11007.48,3821.96,10760.883727496808,5518.643619370889,19.880270326171043,-2887.390762,-4555.486485,-83.33333333,-2987.390762,Buy
1268,24301,24150,KMPR,11012.52,3823.345,10353.476522496932,5467.433075709131,19.880270326171043,-2887.390762,-4712.498182,-74.07407407,-2987.390762,Buy
1269,24301,24150,KMPR,11017.56,3824.73,9962.046070634307,5416.732092851908,19.880270326171043,-2887.390762,-4781.80936,-66.66666667,-2987.390762,Buy
1270,24301,24150,KMPR,11022.6,3826.115,9585.965832570217,5366.535600479958,19.880270326171043,-11629.90196,-4781.619436,-60.60606061,-11729.90196,Buy
1271,24301,24150,KMPR,11027.64,3827.5,9224.633839,5316.838579,19.880270326171043,-15747.01987,-4726.979246,-55.55555556,-15847.01987,Buy
1272,24301,24150,KMPR,11032.68,3828.885,8877.471728,5267.636058,19.880270326171043,-15747.01987,-4630.301271,-51.28205128,-15847.01987,Buy
1273,24301,24150,KMPR,11037.72,3830.27,8543.923816903403,5218.923116858583,19.880270326171043,-15747.01987,-4501.789452,-47.61904762,-15847.01987,Buy
1274,24301,24150,KMPR,11042.76,3831.655,8223.456216240524,5170.694885,19.880270326171043,-15747.01987,-4349.801111,-44.44444444,-15847.01987,Buy
1275,24301,24150,KMPR,11047.8,3833.04,7915.555972466385,5122.946538403026,19.880270326171043,-15747.01987,-4181.151543,-41.66666667,-15847.01987,Buy
1276,24301,24150,KMPR,11052.84,3834.425,7619.730248055938,5075.673303,19.880270326171043,-15747.01987,-4001.37024,-39.21568627,-15847.01987,Buy
1277,24301,24150,KMPR,11057.88,3835.81,7335.505532445901,5028.870450133204,19.880270326171043,-15747.01987,-3814.916282,-37.03703704,-15847.01987,Buy
1278,24301,24150,KMPR,11062.92,3837.195,7062.426884114689,4982.533300232177,19.880270326171043,-15747.01987,-3625.359291,-35.0877193,-15847.01987,Buy
1279,24301,24150,KMPR,11067.96,3838.58,6800.057202384701,4936.657219083356,19.880270326171043,-15747.01987,-3435.531344,0,-15847.01987,Buy
1280,24301,24150,KMPR,11073,3838.58,6547.976527781379,4891.237618886795,19.880270326171043,-15747.01987,-3247.65439,0,-15847.01987,Buy
1281,24301,24150,KOMU,11080.2,3839.12,6310.016663946815,4847.344587295957,21.12059993265393,-15675.49669,-3054.831655,666.6666666670923,-15775.49669,Buy
1282,24301,24150,KOMU,11087.4,3839.66,6081.388559478312,4803.888304663509,21.12059993265393,-15675.49669,-2868.946815,333.33333333350174,-15775.49669,Buy
1283,24301,24150,KOMU,11094.6,3840.2,5861.726263028183,4760.864425181633,21.12059993265393,-15675.49669,-2690.615994,222.22222222226188,-15775.49669,Buy
1284,24301,24150,KOMU,11101.8,3840.74,5650.678174,4718.2686462853135,21.12059993265393,-15675.49669,-2520.235824,166.66666666668772,-15775.49669,Buy
1285,24301,24150,KOMU,11109,3841.28,5447.906481172883,4676.096708222039,21.12059993265393,-15675.49669,-2358.026451,133.3333333333513,-15775.49669,Buy
1286,24301,24150,KOMU,11116.2,3841.82,5253.086619166103,4634.344394,21.12059993265393,-15675.49669,-2204.067238,111.1111111111138,-15775.49669,Buy
1287,24301,24150,KOMU,11123.4,3842.36,5065.906751747824,4593.007527095266,21.12059993265393,-15675.49669,-2058.326348,95.23809523809948,-15775.49669,Buy
1288,24301,24150,KOMU,11130.6,3842.9,4886.067271287126,4552.081974776307,21.12059993265393,-15675.49669,-1920.68518,83.33333333333685,-15775.49669,Buy
1289,24301,24150,KOMU,10564.18,3843.44,4713.280319471944,4511.563643948473,21.12059993265393,-15675.49669,-1790.958508,74.07407407407256,-15775.49669,Buy
1290,24301,24150,KOMU,9993.78,3843.98,4547.2693265514745,4471.448482615739,21.12059993265393,-15675.49669,-1668.911018,66.66666666666666,-15775.49669,Buy
1291,24301,24150,KOMU,9437.4,3844.52,4387.768568647495,4431.7324791012525,21.12059993265393,-15675.49669,-1554.270836,60.60606060605566,-15775.49669,Buy
1292,24301,24150,KOMU,8902,3845.06,4234.522742426025,4392.411661646143,21.12059993265393,-15675.49669,-1446.740542,55.55555555555205,-15775.49669,Buy
1293,24301,24150,KOMU,8371.6,3845.6,4087.2865564485337,4353.482098012305,21.12059993265393,-15675.49669,-1346.006088,51.28205128205071,-15775.49669,Buy
1294,24301,24150,KOMU,7841.32,3846.14,3945.824338548591,4314.939895089141,21.12059993265393,-15675.49669,-1251.743983,47.61904761904074,-15775.49669,Buy
1295,24301,24150,KOMU,7311.92,3846.68,3809.909658605509,4276.781198504222,21.12059993265393,-15675.49669,-1163.627017,44.44444444444145,-15775.49669,Buy
1296,24301,24150,KOMU,6781.62,3823.83,3679.324966111176,4239.002192237815,21.12059993265393,-15675.49669,-1081.328802,41.66666666665483,-15775.49669,Buy
1297,24301,24150,KOMU,6256.22,3800.98,3553.8612419499527,4201.599098241251,21.12059993265393,-15675.49669,-1004.527308,39.21568627449738,-15775.49669,Buy
1298,24301,24150,KOMU,5727.8,3778.13,3433.317663834268,4164.568176059091,21.12059993265393,-15675.49669,-932.9075922,37.03703704,-15775.49669,Buy
1299,24301,24150,KOMU,5211.38,3755.28,3317.501284860375,4127.905722455044,21.12059993265393,-15675.49669,-866.163854,35.08771929820456,-15775.49669,Buy
1300,24301,24150,KOMU,4708,3732.43,3206.226724669772,4091.608071041621,21.12059993265393,-15675.49669,-804.0009382,0,-15775.49669,Buy
1301,24301,24150,KOMU,4223.56,3709.58,3099.315872721937,4055.671591913462,21.12059993265393,-15675.49669,-746.1353952,0,-15775.49669,Buy
1302,24301,24150,KONF,3734.56,3684.83,2981.695642419116,4016.311588380559,16.785730086331412,-15927.15232,-722.6095665,-666.6666667,-16027.15232,Buy
1303,24301,24150,KONF,3252.58,3660.08,2868.687970167386,3977.3432284004575,16.785730086331412,-15927.15232,-695.9427825,-333.3333333,-16027.15232,Buy
1304,24301,24150,KONF,2772.58,3635.33,2760.1119713372923,3938.7626149881935,16.785730086331412,-15927.15232,-667.1190311,-222.2222222,-16027.15232,Buy
1305,24301,24150,KONF,2294.58,3610.58,2655.793854814261,3900.565889935453,16.785730086331412,-15927.15232,-636.9338239,-166.6666667,-16027.15232,Buy
1306,24301,24150,KONF,1818.78,3585.83,2555.5666448215447,3862.7492334247113,16.785730086331412,-15927.15232,-606.0259399,-133.3333333,-16027.15232,Buy
1307,24301,24150,KONF,1338.84,3561.08,2459.2699136520723,3825.3088636472353,16.785730086331412,-15927.15232,-574.9040827,-111.1111111,-16027.15232,Buy
1308,24301,24150,KONF,856.84,3536.33,2366.749524881403,3788.241036424864,16.785730086331412,-15927.15232,-543.9692478,-95.23809524,-16027.15232,Buy
1309,24301,24150,KONF,373.84,3511.58,2277.857387,3751.542044835566,16.785730086331412,-15927.15232,-513.533474,-83.33333333,-16027.15232,Buy
1310,24301,24150,KONF,368.4,3486.83,2192.451215,3715.208218842718,16.785730086331412,-15927.15232,-483.835549,-74.07407407,-16027.15232,Buy
1311,24301,24150,KONF,362.96,3462.08,2110.394304247779,3679.2359249280767,16.785730086331412,-15927.15232,-455.0541485,-66.66666667,-16027.15232,Buy
1312,24301,24150,KONF,357.52,3437.33,2031.5553119243368,3643.621565728396,16.785730086331412,-15927.15232,-427.3188159,-60.60606061,-16027.15232,Buy
1313,24301,24150,KONF,352.08,3412.58,1955.8080447900488,3608.361579675664,16.785730086331412,-15927.15232,-400.7191244,-55.55555556,-16027.15232,Buy
1314,24301,24150,KONF,346.64,3387.83,1883.0312587198507,3573.452440640928,16.785730086331412,-15927.15232,-375.3123106,-51.28205128,-16027.15232,Buy
1315,24301,24150,KONF,341.2,3363.08,1813.1084642602489,3538.890657581642,16.785730086331412,-15927.15232,-351.1296238,-47.61904762,-16027.15232,Buy
1316,24301,24150,KONF,335.76,3338.33,1745.9277401716113,3504.6727741925515,16.785730086331412,-15927.15232,-328.1815972,-44.44444444,-16027.15232,Buy
1317,24301,24150,KONF,330.32,3331.14,1681.3815542825284,3470.7953685600287,16.785730086331412,-15927.15232,-306.4624128,-41.66666667,-16027.15232,Buy
1318,24301,24150,KONF,324.88,3323.95,1619.366591369488,3437.2550528198603,16.785730086331412,-15927.15232,-285.9535086,-39.21568627,-16027.15232,Buy
1319,24301,24150,KONF,319.44,3316.76,1559.7835877863706,3404.048472818436,16.785730086331412,-15927.15232,-266.6265495,-37.03703704,-16027.15232,Buy
1320,24301,24150,KONF,314,3309.57,1502.537172579062,3371.172307777309,16.785730086331412,-15927.15232,-248.4458658,-35.0877193,-16027.15232,Buy
1321,24301,24150,KONF,308.56,3302.38,1447.5357148308633,3338.6232699610973,16.785730086331412,-15927.15232,-231.3704485,0,-16027.15232,Buy
1322,24301,24150,KONF,303.12,3295.19,1394.6911769943588,3306.3981043486856,16.785730086331412,-15927.15232,-215.3555722,0,-16027.15232,Buy
1323,24301,24150,KONZ,298.06,3288.095,1344.664072014188,3274.6826433735555,20.646587603891504,-15914.56954,-198.8384405,666.6666666657597,-16014.56954,Buy
1324,24301,24150,KONZ,293,3281,1296.5988142881413,3243.282760252278,20.646587603891504,-15914.56954,-183.6317026,333.33333333338646,-16014.56954,Buy
1325,24301,24150,KONZ,287.94,3273.905,1250.4184686297829,3212.1953148843745,20.646587603891504,-15914.56954,-169.6249227,222.2222222223849,-16014.56954,Buy
1326,24301,24150,KONZ,282.88,3266.81,1206.049116918811,3181.417198414589,20.646587603891504,-15914.56954,-156.7179023,166.66666666672654,-16014.56954,Buy
1327,24301,24150,KONZ,277.82,3259.715,1163.41974,3150.9453329219828,20.646587603891504,-15914.56954,-144.8196054,133.33333333330782,-16014.56954,Buy
1328,24301,24150,KONZ,272.76,3252.62,1122.4621029304365,3120.7766711121208,20.646587603891504,-15914.56954,-133.8472121,111.11111111113392,-16014.56954,Buy
1329,24301,24150,KONZ,267.7,3245.525,1083.1106479135565,3090.9081960123217,20.646587603891504,-15914.56954,-123.7252832,95.23809524,-16014.56954,Buy
1330,24301,24150,KONZ,262.64,3238.43,1045.302387211064,3061.3369206699417,20.646587603891504,-15914.56954,-114.3850224,83.33333333330341,-16014.56954,Buy
1331,24301,24150,KONZ,255.42,3231.335,1008.9768033988654,3032.0598878536584,20.646587603891504,-15914.56954,-105.7636212,74.07407407403325,-16014.56954,Buy
1332,24301,24150,KONZ,248.2,3224.24,974.0757522851844,3003.074169757729,20.646587603891504,-15914.56954,-97.80367866,66.66666666664752,-16014.56954,Buy
1333,24301,24150,KONZ,240.98,3217.145,940.5433698,2974.3768677091903,20.646587603891504,-15914.56954,-90.45268463,60.60606060606237,-16014.56954,Buy
1334,24301,24150,KONZ,233.76,3210.05,908.3259828,2945.9651118779734,20.646587603891504,-15914.56954,-83.662559,55.55555555549572,-16014.56954,Buy
1335,24301,24150,KONZ,226.54,3202.955,877.3720226805651,2917.8360609899023,20.646587603891504,-15914.56954,-77.38924053,51.282051282004346,-16014.56954,Buy
1336,24301,24150,KONZ,219.32,3195.86,847.6319433597586,2889.9869020425467,20.646587603891504,-15914.56954,-71.59231875,47.61904761903785,-16014.56954,Buy
1337,24301,24150,KONZ,212.1,3188.765,819.0581416593758,2862.4148500239053,20.646587603891504,-15914.56954,-66.23470404,44.44444444,-16014.56954,Buy
1338,24301,24150,KONZ,204.88,3183.185,791.6048812021453,2835.117147633888,20.646587603891504,-15914.56954,-61.28233122,41.66666666663675,-16014.56954,Buy
1339,24301,24150,KONZ,197.66,3177.605,765.2282192,2808.0910650085657,20.646587603891504,-15914.56954,-56.7038929,39.21568627452526,-16014.56954,Buy
1340,24301,24150,KONZ,190.44,3172.025,739.8859360885624,2781.333899,20.646587603891504,-15914.56954,-52.47059914,37.03703703687748,-16014.56954,Buy
1341,24301,24150,KONZ,183.22,3166.445,715.5374680066581,2754.8429751418043,20.646587603891504,-15914.56954,-48.55596044,35.08771929799633,-16014.56954,Buy
1344,24301,24150,KORZ,161.58,3149.71,648.1120200640427,2676.951239738324,21.554778637862384,-15913.90728,-38.40982129,666.6666666724109,-16013.90728,Buy
1345,24301,24150,KORZ,154.38,3144.135,627.4017447674134,2651.508902180755,21.554778637862384,-15913.90728,-35.48283356,333.3333333464705,-16013.90728,Buy
